acceptedNameUsageID,Scientific name,Family_ID,Genus_ID,DDepth_Top,DDepth_Bottom,DDepth_midPoint,NDepth_Top,NDepth_Bottom,NDepth_midPoint,Lat0_Top,Lat0_Bottom,Lat0_midPoint,Lon0_Top,Lon0_Bottom,Lon0_midPoint,common size0_Top,common size0_Bottom,common size0_midPoint,max size0_Top,max size0_Bottom,max size0_midPoint,Temperature0_Top,Temperature0_Bottom,Temperature0_midPoint,Lon1_Top,Lon1_Bottom,Lon1_midPoint,max size1_Top,max size1_Bottom,max size1_midPoint,Lat1_Top,Lat1_Bottom,Lat1_midPoint,Depth2_Top,Depth2_Bottom,Depth2_midPoint,Temperature1_Top,Temperature1_Bottom,Temperature1_midPoint,Depth3_Top,Depth3_Bottom,Depth3_midPoint,max size2_Top,max size2_Bottom,max size2_midPoint,common size1_Top,common size1_Bottom,common size1_midPoint,common size2_Top,common size2_Bottom,common size2_midPoint,max size3_Top,max size3_Bottom,max size3_midPoint,spawning temperature0_Top,spawning temperature0_Bottom,spawning temperature0_midPoint,spawning temperature1_Top,spawning temperature1_Bottom,spawning temperature1_midPoint,spawning temperature2_Top,spawning temperature2_Bottom,spawning temperature2_midPoint,common size3_Top,common size3_Bottom,common size3_midPoint,common size4_Top,common size4_Bottom,common size4_midPoint,common size5_Top,common size5_Bottom,common size5_midPoint,spawning temparature0_Top,spawning temparature0_Bottom,spawning temparature0_midPoint,temperature0_Top,temperature0_Bottom,temperature0_midPoint,max size4_Top,max size4_Bottom,max size4_midPoint,max size5_Top,max size5_Bottom,max size5_midPoint,Behavior0_Bottom,Behavior0_Top,Behavior0_Average,Behavior0_# records,Food0_Bottom,Food0_Top,Food0_Average,Food0_# records,Habitat0_Bottom,Habitat0_Top,Habitat0_Average,Habitat0_# records,Salinity0_Bottom,Salinity0_Top,Salinity0_Average,Salinity0_# records,TemperatureT0_Bottom,TemperatureT0_Top,TemperatureT0_Average,TemperatureT0_# records,Aggregation0_Bottom,Aggregation0_Top,Aggregation0_Average,Aggregation0_# records,Associate0_Bottom,Associate0_Top,Associate0_Average,Associate_Floating object,Associate_Large pelagics,Behavior1_Bottom,Behavior1_Top,Behavior1_Average,Behavior1_# records,Food1_Bottom,Food1_Top,Food1_Average,Food1_# records,Habitat1_Bottom,Habitat1_Top,Habitat1_Average,Habitat1_# records,Salinity1_Bottom,Salinity1_Top,Salinity1_Average,Salinity1_# records,TemperatureT1_Bottom,TemperatureT1_Top,TemperatureT1_Average,TemperatureT1_# records,ICCAT Fisheries,LL,PS,Others
105787,Carcharhinus altimus,105689,105719,0,810,150,0,810,150,-31,46,,-180,180,,,,250,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,2,3.6,2.866666667,3,1.5,3,2.357142857,7,2,2,2,1,2,3,2.5,4,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,
105788,Carcharhinus brevipinna,105689,105719,0,200,50,0,200,50,-38,40,,-100,155,,,,250,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,1,2,3.6,2.866666667,3,1.3,2.5,1.966666667,6,2,2,2,1,2,3,2.5,4,1,4,2.5,2,,,0,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,Y
105789,Carcharhinus falciformis,105689,105719,0,500,259,0,500,259,-43,42,,-180,180,,,,250,,,350,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,3.2,3.2,1,2,3,2.333333333,3,1.3,3,2.22,10,2,2,2,1,2.6,2.6,2.6,1,,,,,2,3.1,2.55,1,1,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y
105790,Carcharhinus galapagensis,105689,105719,0,285,105,0,285,105,-34,36,,-180,180,,,,300,,,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,1,2,4,3,3,1.3,3,2.15,10,2,2,2,1,2.4,3,2.7,2,,,,,1.5,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,
105791,Carcharhinus isodon,105689,105719,0,20,10,0,20,10,-38,42,,-100,-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,3,2.5,2,1.1,2,1.466666667,3,2,2,2,1,2.6,2.6,2.6,1,4,4,4,1,,,0,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,
105792,Carcharhinus leucas,105689,105719,0,164,15.5,0,164,15.5,-39,42,,-180,180,,,,260,,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,2,1,3.6,2.166666667,6,0,2.5,1.4,7,0,2,1,3,2.4,3,2.666666667,3,,,,,1.5,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y
105793,Carcharhinus limbatus,105689,105719,0,140,15,0,140,15,-38,45,,-180,180,,,,150,,,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,3,2,3.6,2.65,4,1,3,1.86,10,1,2,1.5,2,2.4,3,2.666666667,3,5,5,5,1,,,0,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,Y
105794,Carcharhinus longimanus,105689,105719,0,1082,76,0,1082,76,-43,46,,-180,180,,,,270,,,400,18,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,3.2,3.2,1,1,4.5,2.45,8,2,3,2.625,4,2,2,2,1,2,3,2.533333333,3,,,,,2.3,2.8,2.55,1,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y
105795,Carcharhinus melanopterus,105689,105719,0,75,37.5,0,75,37.5,-25,35,,-180,-134,,,,,,,,,,,7,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,3,2.125,4,1,2.5,1.525,8,1,2,1.5,2,2.6,3,2.8,2,1,3,2,2,1.2,1.2,1.2,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,
105796,Carcharhinus obscurus,105689,105719,0,500,300,0,500,300,-46,45,,-120,156,,,,250,,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,1,1,3.6,2.157142857,7,1.5,3,2.25,4,1,2,1.5,2,2.4,3,2.666666667,3,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,Y
